year,mlo_ppm_per_year,mlo_uncertainty,global_ppm_per_year,global_uncertainty
1959,0.94,0.11,0.96,0.31
1960,0.5,0.11,0.71,0.27
1961,0.96,0.11,0.78,0.27
1962,0.65,0.11,0.56,0.27
1963,0.71,0.11,0.57,0.28
1964,0.31,0.11,0.49,0.27
1965,1.06,0.11,1.1,0.26
1966,1.28,0.11,1.1,0.28
1967,0.69,0.11,0.61,0.34
1968,1.06,0.11,0.99,0.32
1969,1.35,0.11,1.32,0.29
1970,1,0.11,1.13,0.32
1971,0.8,0.11,0.73,0.3
1972,1.74,0.11,1.47,0.31
1973,1.18,0.11,1.46,0.31
1974,0.96,0.11,0.68,0.31
1975,1.09,0.11,1.23,0.27
1976,0.79,0.11,0.97,0.28
1977,2.15,0.11,1.92,0.29
1978,1.3,0.11,1.29,0.24
1979,1.83,0.11,2.14,0.26
1980,1.68,0.11,1.67,0.12
1981,1.43,0.11,1.15,0.07
1982,0.86,0.11,1,0.08
1983,2.36,0.11,1.84,0.08
1984,1.51,0.11,1.23,0.12
1985,1.21,0.11,1.65,0.09
1986,1.47,0.11,1.01,0.1
1987,2.06,0.11,2.66,0.09
1988,2.24,0.11,2.17,0.09
1989,1.24,0.11,1.47,0.09
1990,1.2,0.11,1.22,0.07
1991,1.05,0.11,0.75,0.09
1992,0.49,0.11,0.71,0.09
1993,1.36,0.11,1.24,0.07
1994,1.95,0.11,1.66,0.11
1995,2.01,0.11,2,0.1
1996,1.24,0.11,1.05,0.08
1997,1.91,0.11,1.98,0.08
1998,2.97,0.11,2.84,0.11
1999,0.92,0.11,1.33,0.08
2000,1.62,0.11,1.25,0.12
2001,1.62,0.11,1.85,0.1
2002,2.51,0.11,2.36,0.08
2003,2.26,0.11,2.28,0.09
2004,1.59,0.11,1.56,0.05
2005,2.57,0.11,2.47,0.07
2006,1.69,0.11,1.77,0.07
2007,2.31,0.11,2.13,0.06
2008,1.54,0.11,1.78,0.05
2009,2,0.11,1.58,0.06
2010,2.3,0.11,2.36,0.06
2011,1.92,0.11,1.73,0.07
2012,2.65,0.11,2.42,0.07
2013,1.99,0.11,2.45,0.07
2014,2.17,0.11,2.03,0.08
2015,2.95,0.11,2.95,0.07
2016,3.03,0.11,2.83,0.09
2017,1.9,0.11,2.14,0.1
2018,2.85,0.11,2.39,0.09
2019,2.49,0.11,2.5,0.06
2020,2.3,0.11,2.33,0.08
2021,2.35,0.11,2.38,0.07
2022,1.84,0.11,2.24,0.12
2023,3.32,0.11,2.7,0.16
2024,3.33,0.11,3.76,0.09
2025,2.23,0.11,2.06,0.09
