period_start,period_end,vehicle_group,is_total,metric,vehicles,source_id
2019-04-01,2019-06-30,Model 3,false,deliveries,77550,0001564590-19-024414
2019-04-01,2019-06-30,Model S/X,false,deliveries,17650,0001564590-19-024414
2019-04-01,2019-06-30,Total,true,deliveries,95200,0001564590-19-024414
2019-04-01,2019-06-30,Model 3,false,production,72531,0001564590-19-024414
2019-04-01,2019-06-30,Model S/X,false,production,14517,0001564590-19-024414
2019-04-01,2019-06-30,Total,true,production,87048,0001564590-19-024414
2019-07-01,2019-09-30,Model 3,false,deliveries,79600,0001564590-19-036274
2019-07-01,2019-09-30,Model S/X,false,deliveries,17400,0001564590-19-036274
2019-07-01,2019-09-30,Total,true,deliveries,97000,0001564590-19-036274
2019-07-01,2019-09-30,Model 3,false,production,79837,0001564590-19-036274
2019-07-01,2019-09-30,Model S/X,false,production,16318,0001564590-19-036274
2019-07-01,2019-09-30,Total,true,production,96155,0001564590-19-036274
2019-10-01,2019-12-31,Model 3,false,deliveries,92550,0001564590-20-000161
2019-10-01,2019-12-31,Model S/X,false,deliveries,19450,0001564590-20-000161
2019-10-01,2019-12-31,Total,true,deliveries,112000,0001564590-20-000161
2019-10-01,2019-12-31,Model 3,false,production,86958,0001564590-20-000161
2019-10-01,2019-12-31,Model S/X,false,production,17933,0001564590-20-000161
2019-10-01,2019-12-31,Total,true,production,104891,0001564590-20-000161
2020-01-01,2020-03-31,Model 3/Y,false,deliveries,76200,0001564590-20-014992
2020-01-01,2020-03-31,Model S/X,false,deliveries,12200,0001564590-20-014992
2020-01-01,2020-03-31,Total,true,deliveries,88400,0001564590-20-014992
2020-01-01,2020-03-31,Model 3/Y,false,production,87282,0001564590-20-014992
2020-01-01,2020-03-31,Model S/X,false,production,15390,0001564590-20-014992
2020-01-01,2020-03-31,Total,true,production,102672,0001564590-20-014992
2020-04-01,2020-06-30,Model 3/Y,false,deliveries,80050,0001564590-20-031568
2020-04-01,2020-06-30,Model S/X,false,deliveries,10600,0001564590-20-031568
2020-04-01,2020-06-30,Total,true,deliveries,90650,0001564590-20-031568
2020-04-01,2020-06-30,Model 3/Y,false,production,75946,0001564590-20-031568
2020-04-01,2020-06-30,Model S/X,false,production,6326,0001564590-20-031568
2020-04-01,2020-06-30,Total,true,production,82272,0001564590-20-031568
2020-07-01,2020-09-30,Model 3/Y,false,deliveries,124100,0001564590-20-045592
2020-07-01,2020-09-30,Model S/X,false,deliveries,15200,0001564590-20-045592
2020-07-01,2020-09-30,Total,true,deliveries,139300,0001564590-20-045592
2020-07-01,2020-09-30,Model 3/Y,false,production,128044,0001564590-20-045592
2020-07-01,2020-09-30,Model S/X,false,production,16992,0001564590-20-045592
2020-07-01,2020-09-30,Total,true,production,145036,0001564590-20-045592
2020-10-01,2020-12-31,Model 3/Y,false,deliveries,161650,0001564590-21-000008
2020-10-01,2020-12-31,Model S/X,false,deliveries,18920,0001564590-21-000008
2020-10-01,2020-12-31,Total,true,deliveries,180570,0001564590-21-000008
2020-10-01,2020-12-31,Model 3/Y,false,production,163660,0001564590-21-000008
2020-10-01,2020-12-31,Model S/X,false,production,16097,0001564590-21-000008
2020-10-01,2020-12-31,Total,true,production,179757,0001564590-21-000008
2021-01-01,2021-03-31,Model 3/Y,false,deliveries,182780,0001564590-21-017443
2021-01-01,2021-03-31,Model S/X,false,deliveries,2020,0001564590-21-017443
2021-01-01,2021-03-31,Total,true,deliveries,184800,0001564590-21-017443
2021-01-01,2021-03-31,Model 3/Y,false,production,180338,0001564590-21-017443
2021-01-01,2021-03-31,Model S/X,false,production,0,0001564590-21-017443
2021-01-01,2021-03-31,Total,true,production,180338,0001564590-21-017443
2021-04-01,2021-06-30,Model 3/Y,false,deliveries,199360,0000950170-21-000423
2021-04-01,2021-06-30,Model S/X,false,deliveries,1890,0000950170-21-000423
